,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
85716,Untitled,Joel Shapiro,2001,Still Images,2005,http://www.moma.org/collection/works/97364,M,American,United States,USA,Global North,North America,MoMA (sampled)
85717,High Water,David Shaw,2004,Still Images,2005,http://www.moma.org/collection/works/97365,M,American,United States,USA,Global North,North America,MoMA (sampled)
85721,Study for Sin of Pride,Jim Shaw,1987,Still Images,2005,http://www.moma.org/collection/works/97369,M,American,United States,USA,Global North,North America,MoMA (sampled)
85722,Study for Utopian Landscape #2 (Cloud Chamber),Jim Shaw,1988,Still Images,2005,http://www.moma.org/collection/works/97370,M,American,United States,USA,Global North,North America,MoMA (sampled)
85723,Study for Utopian Landscape #5 (Mound of Skulls),Jim Shaw,1988,Still Images,2005,http://www.moma.org/collection/works/97371,M,American,United States,USA,Global North,North America,MoMA (sampled)
85724,"Study for Sinnorama #1, #2, #3",Jim Shaw,1990,Still Images,2005,http://www.moma.org/collection/works/97372,M,American,United States,USA,Global North,North America,MoMA (sampled)
85725,Dream Object ( At 5 a.m. I needed to get some money so I went to the bank cash machine...),Jim Shaw,1996,Still Images,2005,,M,American,United States,USA,Global North,North America,MoMA (sampled)
85726,Dream Object ( I was drawing a Pepsi sex float...),Jim Shaw,1996,Still Images,2005,http://www.moma.org/collection/works/97374,M,American,United States,USA,Global North,North America,MoMA (sampled)
85727,Dream Object ( I was at Linda's and found a stack of very old drawings...),Jim Shaw,1997,Still Images,2005,http://www.moma.org/collection/works/97375,M,American,United States,USA,Global North,North America,MoMA (sampled)
85728,"Dream Object (""I'm working on a psychedelic poster as part of a magazine but it may be too expensive to print, featuring kids in poses from the last supper at the bottom."")",Jim Shaw,1999,Still Images,2005,http://www.moma.org/collection/works/97376,M,American,United States,USA,Global North,North America,MoMA (sampled)
85729,Land of Butter,Jim Shaw,1999,Still Images,2005,http://www.moma.org/collection/works/97377,M,American,United States,USA,Global North,North America,MoMA (sampled)
85730,Untitled,Jim Shaw,2002,Still Images,2005,http://www.moma.org/collection/works/97378,M,American,United States,USA,Global North,North America,MoMA (sampled)
85731,Untitled,Jim Shaw,2003,Still Images,2005,http://www.moma.org/collection/works/97379,M,American,United States,USA,Global North,North America,MoMA (sampled)
85732,Untitled,Jim Shaw,2003,Still Images,2005,http://www.moma.org/collection/works/97380,M,American,United States,USA,Global North,North America,MoMA (sampled)
